"Quantity","Item","URL","Unit Price ($USD)","Total Price ($USD)"
"5","CoreChips SL2.1A","https://www.lcsc.com/product-detail/C192893.html?","0.2355","1.5920"
"17","USB A 2.0 Receptacle","https://www.lcsc.com/product-detail/C668591.html","0.0627","1.1288"
"11","USB C Receptacle","https://www.lcsc.com/product-detail/C2765186.html","0.0633","0.7271"
"60","1uf Capacitor","https://www.lcsc.com/product-detail/C14445.html","0.0023","0.1380"
"15","100nf Capacitor","https://www.lcsc.com/product-detail/C1525.html?s_z=n_capacitor","0.0013","0.0195"
"30","5.1k Resistor","https://www.lcsc.com/product-detail/C2906874.html","0.0006","0.0180"
"PCB","","","","3.10"
"PCBA","","","","30.78 (Includes component prices)"
"Shipping","","","","9.24"
"Total","","","","43.12"
