Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","CAPC1005X55N","1uf_0402",140.068000,-78.500000,180.000000,top
"C2","CAPC1005X55N","1uf_0402",140.068000,-72.500000,180.000000,top
"C3","CAPC1005X55N","1uf_0402",129.500000,-85.568000,90.000000,top
"C4","CAPC1005X55N","1uf_0402",135.500000,-85.500000,90.000000,top
"C5","CAPC1005X55N","1uf_0402",111.500000,-81.000000,90.000000,top
"C6","CAPC1005X55N","1uf_0402",92.500000,-81.000000,90.000000,top
"C7","CAPC1005X55N","1uf_0402",73.500000,-81.000000,90.000000,top
"C8","CAPC1005X55N","1uf_0402",106.500000,-70.500000,90.000000,top
"C9","CAPC1005X55N","100nf_0402",108.500000,-70.500000,90.000000,top
"C10","CAPC1005X55N","1uf_0402",103.500000,-70.568000,90.000000,top
"C11","CAPC1005X55N","100nf_0402",102.000000,-70.568000,90.000000,top
"C12","CAPC1005X55N","1uf_0402",98.000000,-70.568000,90.000000,top
"C13","CAPC1005X55N","100nf_0402",100.000000,-70.568000,90.000000,top
"J1","TYPE-C_16PIN_2MD__073_","SHOUHAN_TYPE-C_16PIN_2MD__073_",147.000000,-76.000000,90.000000,top
"J2","USB_A","USB-A-TH_10.0QHHTZB6.3",115.000000,-89.000000,0.000000,top
"J3","USB_A","USB-A-TH_10.0QHHTZB6.3",96.000000,-89.000000,0.000000,top
"J4","USB_A","USB-A-TH_10.0QHHTZB6.3",77.000000,-89.000000,0.000000,top
"J5","TYPE-C_16PIN_2MD__073_","SHOUHAN_TYPE-C_16PIN_2MD__073_",132.000000,-92.000000,0.000000,top
"R1","5.1k_1210","R0402",140.070000,-74.000000,180.000000,top
"R2","5.1k_1210","R0402",140.000000,-77.000000,180.000000,top
"R3","5.1k_1210","R0402",134.000000,-85.500000,90.000000,top
"R4","5.1k_1210","R0402",131.000000,-85.570000,90.000000,top
"U1","SL2.1A","SLA2.1s",102.325000,-76.573400,0.000000,top
